Metric,Avg,Min,Max,Unit
Bandwidth,1114.38,1114.38,1114.38,Bytes per wave
Req,8.71,8.71,8.71,Req per wave
Read Req,4.54,4.54,4.54,Req per wave
Write Req,4.0,4.0,4.0,Req per wave
Atomic Req,0.0,0.0,0.0,Req per wave
Streaming Req,0.0,0.0,0.0,Req per wave
Probe Req,0.0,0.0,0.0,Req per wave
Cache Hit,52.06,52.06,52.06,Pct
Hits,4.45,4.45,4.45,Hits per wave
Misses,4.09,4.09,4.09,Misses per wave
Writeback,2.08,2.08,2.08,Cachelines per wave
Writeback (Internal),0.0,0.0,0.0,Cachelines per wave
Writeback (vL1D Req),2.0,2.0,2.0,Cachelines per wave
Evict (Internal),0.0,0.0,0.0,Cachelines per wave
Evict (vL1D Req),0.0,0.0,0.0,Cachelines per wave
NC Req,0.0,0.0,0.0,Req per wave
UC Req,0.02,0.02,0.02,Req per wave
CC Req,0.0,0.0,0.0,Req per wave
RW Req,8.69,8.69,8.69,Req per wave
