Metric,Avg,Min,Max,Unit
Bandwidth,1644.03,1644.03,1644.03,Bytes per wave
Req,12.84,12.84,12.84,Req per wave
Read Req,8.84,8.84,8.84,Req per wave
Write Req,4.0,4.0,4.0,Req per wave
Atomic Req,0.0,0.0,0.0,Req per wave
Streaming Req,0.0,0.0,0.0,Req per wave
Probe Req,0.0,0.0,0.0,Req per wave
Cache Hit,21.79,21.79,21.79,Pct
Hits,2.8,2.8,2.8,Hits per wave
Misses,10.04,10.04,10.04,Misses per wave
Writeback,2.03,2.03,2.03,Cachelines per wave
Writeback (Internal),0.07,0.07,0.07,Cachelines per wave
Writeback (vL1D Req),1.93,1.93,1.93,Cachelines per wave
Evict (Internal),4.13,4.13,4.13,Cachelines per wave
Evict (vL1D Req),0.0,0.0,0.0,Cachelines per wave
NC Req,0.0,0.0,0.0,Req per wave
UC Req,0.02,0.02,0.02,Req per wave
CC Req,0.0,0.0,0.0,Req per wave
RW Req,12.82,12.82,12.82,Req per wave
